Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"World","Afghanistan",2020,Total,36643815,18557871,18085944,100.0,100.0,100.0,102.6
"World","Afghanistan",2020,0-14,14884349,7562703,7321646,40.6,40.8,40.5,103.3
"World","Afghanistan",2020,15-64,20778783,10543316,10235467,56.7,56.8,56.6,103.0
"World","Afghanistan",2020,65+,980683,451852,528831,2.7,2.4,2.9,85.4
"World","Albania",2020,Total,3074579,1518421,1556158,100.0,100.0,100.0,97.6
"World","Albania",2020,0-14,541110,284636,256474,17.6,18.7,16.5,111.0
"World","Albania",2020,15-64,2132858,1047450,1085408,69.4,69.0,69.7,96.5
"World","Albania",2020,65+,400611,186335,214276,13.0,12.3,13.8,87.0
"World","Algeria",2020,Total,42972878,21770912,21201966,100.0,100.0,100.0,102.7
"World","Algeria",2020,0-14,12710940,6509490,6201450,29.6,29.9,29.2,105.0
"World","Algeria",2020,15-64,27608497,14009338,13599159,64.2,64.3,64.1,103.0
"World","Algeria",2020,65+,2653441,1252084,1401357,6.2,5.8,6.6,89.3
"World","American Samoa",2020,Total,49437,24669,24768,100.0,100.0,100.0,99.6
"World","American Samoa",2020,0-14,13725,7063,6662,27.8,28.6,26.9,106.0
"World","American Samoa",2020,15-64,32301,16026,16275,65.3,65.0,65.7,98.5
"World","American Samoa",2020,65+,3411,1580,1831,6.9,6.4,7.4,86.3
"World","Andorra",2020,Total,85635,43960,41675,100.0,100.0,100.0,105.5
"World","Andorra",2020,0-14,11452,5901,5551,13.4,13.4,13.3,106.3
"World","Andorra",2020,15-64,59316,30515,28801,69.3,69.4,69.1,106.0
"World","Andorra",2020,65+,14867,7544,7323,17.4,17.2,17.6,103.0
"World","Angola",2020,Total,32522339,15846967,16675372,100.0,100.0,100.0,95.0
"World","Angola",2020,0-14,15556505,7758636,7797869,47.8,49.0,46.8,99.5
"World","Angola",2020,15-64,16217587,7776134,8441453,49.9,49.1,50.6,92.1
"World","Angola",2020,65+,748247,312197,436050,2.3,2.0,2.6,71.6
"World","Anguilla",2020,Total,18090,8555,9535,100.0,100.0,100.0,89.7
"World","Anguilla",2020,0-14,3913,1991,1922,21.6,23.3,20.2,103.6
"World","Anguilla",2020,15-64,12408,5690,6718,68.6,66.5,70.5,84.7
"World","Anguilla",2020,65+,1769,874,895,9.8,10.2,9.4,97.7
"World","Antigua and Barbuda",2020,Total,98179,46320,51859,100.0,100.0,100.0,89.3
"World","Antigua and Barbuda",2020,0-14,22114,11243,10871,22.5,24.3,21.0,103.4
"World","Antigua and Barbuda",2020,15-64,67317,31341,35976,68.6,67.7,69.4,87.1
"World","Antigua and Barbuda",2020,65+,8748,3736,5012,8.9,8.1,9.7,74.5
"World","Argentina",2020,Total,45479118,22506182,22972936,100.0,100.0,100.0,98.0
"World","Argentina",2020,0-14,10923911,5629188,5294723,24.0,25.0,23.0,106.3
"World","Argentina",2020,15-64,29038266,14545315,14492951,63.8,64.6,63.1,100.4
"World","Argentina",2020,65+,5516941,2331679,3185262,12.1,10.4,13.9,73.2
"World","Armenia",2020,Total,3021324,1470550,1550774,100.0,100.0,100.0,94.8
"World","Armenia",2020,0-14,563289,297320,265969,18.6,20.2,17.2,111.8
"World","Armenia",2020,15-64,2077311,1019113,1058198,68.8,69.3,68.2,96.3
"World","Armenia",2020,65+,380724,154117,226607,12.6,10.5,14.6,68.0
"World","Aruba",2020,Total,119428,56491,62937,100.0,100.0,100.0,89.8
"World","Aruba",2020,0-14,20961,10524,10437,17.6,18.6,16.6,100.8
"World","Aruba",2020,15-64,80490,38903,41587,67.4,68.9,66.1,93.5
"World","Aruba",2020,65+,17977,7064,10913,15.1,12.5,17.3,64.7
"World","Australia",2020,Total,25466459,12655116,12811343,100.0,100.0,100.0,98.8
"World","Australia",2020,0-14,4767124,2457418,2309706,18.7,19.4,18.0,106.4
"World","Australia",2020,15-64,16654578,8330937,8323641,65.4,65.8,65.0,100.1
"World","Australia",2020,65+,4044757,1866761,2177996,15.9,14.8,17.0,85.7
"World","Austria",2020,Total,8859449,4338457,4520992,100.0,100.0,100.0,96.0
"World","Austria",2020,0-14,1240868,635803,605065,14.0,14.7,13.4,105.1
"World","Austria",2020,15-64,5858273,2933967,2924306,66.1,67.6,64.7,100.3
"World","Austria",2020,65+,1760308,768687,991621,19.9,17.7,21.9,77.5
"World","Azerbaijan",2020,Total,10205810,5061260,5144550,100.0,100.0,100.0,98.4
"World","Azerbaijan",2020,0-14,2330600,1235292,1095308,22.8,24.4,21.3,112.8
"World","Azerbaijan",2020,15-64,7130837,3536364,3594473,69.9,69.9,69.9,98.4
"World","Azerbaijan",2020,65+,744373,289604,454769,7.3,5.7,8.8,63.7
"World","Bahamas, The",2020,Total,337721,165549,172172,100.0,100.0,100.0,96.2
"World","Bahamas, The",2020,0-14,74426,37758,36668,22.0,22.8,21.3,103.0
"World","Bahamas, The",2020,15-64,234012,116465,117547,69.3,70.4,68.3,99.1
"World","Bahamas, The",2020,65+,29283,11326,17957,8.7,6.8,10.4,63.1
"World","Bahrain",2020,Total,1505003,911044,593959,100.0,100.0,100.0,153.4
"World","Bahrain",2020,0-14,277726,141039,136687,18.5,15.5,23.0,103.2
"World","Bahrain",2020,15-64,1176671,744206,432465,78.2,81.7,72.8,172.1
"World","Bahrain",2020,65+,50606,25799,24807,3.4,2.8,4.2,104.0
"World","Bangladesh",2020,Total,162650853,79959419,82691434,100.0,100.0,100.0,96.7
"World","Bangladesh",2020,0-14,43077225,21918651,21158574,26.5,27.4,25.6,103.6
"World","Bangladesh",2020,15-64,108476011,52822562,55653449,66.7,66.1,67.3,94.9
"World","Bangladesh",2020,65+,11097617,5218206,5879411,6.8,6.5,7.1,88.8
"World","Barbados",2020,Total,294560,142372,152188,100.0,100.0,100.0,93.6
"World","Barbados",2020,0-14,51526,25762,25764,17.5,18.1,16.9,100.0
"World","Barbados",2020,15-64,203065,100212,102853,68.9,70.4,67.6,97.4
"World","Barbados",2020,65+,39969,16398,23571,13.6,11.5,15.5,69.6
"World","Belarus",2020,Total,9477918,4408657,5069261,100.0,100.0,100.0,87.0
"World","Belarus",2020,0-14,1524604,784231,740373,16.1,17.8,14.6,105.9
"World","Belarus",2020,15-64,6443048,3131371,3311677,68.0,71.0,65.3,94.6
"World","Belarus",2020,65+,1510266,493055,1017211,15.9,11.2,20.1,48.5
